patent_id,title,year,inventor_name,company_name
10000581,Therapeutic and imaging compositions and uses thereof,2018,Yawo Mondjinou,
10000613,Methods of making an elastomer composite reinforced with silica and carbon black and products containing same,2018,Martin C. Green,
10000630,Ethylene interpolymers having improved color,2018,Christopher John Brooke Dobbin,
10000660,Thiol-functional compound,2018,Rogier VAN GEMERT,
10000662,Thermoplastic composite material reinforced with synthetic fibers and manufacturing process,2018,Michel Glotin,
10000697,Magnesium alumosilicate-based phosphor,2018,Takeo Wakimoto,
10000714,Iron oxide nanoparticle dispersions and fuel additives for soot combustion,2018,Richard K. Hailstone,
10000720,Lubricant compositions containing beta-glucans,2018,Thomas Ruehle,
10000721,Lubricating oil compositions with engine wear protection,2018,David J. Baillargeon,
10000730,Biomaterial handling device,2018,Paul Sabin,
10000735,Method for differentiating pluripotent stem cell induced from mesenchymal stem cell into neuron,2018,Ho Bin Kim,
10000742,Device and method of collection for RNA viruses,2018,Robert Scott Duthie,General Electric Company
10000745,Therapeutic nuclease compositions and methods,2018,Jeffrey A. Ledbetter,
10000758,"Microorganisms and methods for enhancing the availability of reducing equivalents in the presence of methanol, for producing methacrylic acid",2018,Stefan Andrae,
10000766,"Recombinant construct, recombinant microorganism, recombinant plant cell and method of providing plant with resistance against DNA virus and RNA virus",2018,Kuan-Chun Chen,
10000785,Composition of redox-reagents for electrochemical biosensor and biosensor comprising the same,2018,Hakhyun Nam,
10000808,Methods of detecting cervical cancer,2018,Olivier Delfour,
10000817,Mutation detection assay,2018,Hatim T. Allawi,
10000817,Mutation detection assay,2018,Michael J. Domanico,
10000825,"Process, method and plant for recovering scandium",2018,John Carr,
10000838,Titanium alloys exhibiting resistance to impact or shock loading,2018,Steven James,
10000875,Washing machine appliance out-of-balance detection,2018,Paul Owen Davis,
10000960,Drive device for a movable barrier,2018,Mark A. Bullock,
10000968,Electromechanical actuator and home automation installation comprising such an electromechanical actuator,2018,Florian Bodet,
10000969,Access control apparatus,2018,Christian Tuma,
10000992,Downhole bypass tool,2018,Roger L. Schultz,
10000993,Multi-gauge wrap wire for subterranean sand screen,2018,Bennett M. Richard,
10001000,Simulating well system fluid flow based on a pressure drop boundary condition,2018,Srinath Madasu,
10001012,Turbine wheel of an exhaust-gas turbocharger,2018,Frank Scherrer,
10001025,"Combined electricity, heat, and chill generation for a Rankine engine",2018,Joseph Y. Hui,
10001037,Variable valve mechanism,2018,Yu Yokoyama,
10001046,Methods to adapt reductant injection controls for catalyst aging,2018,William Collins Vining,
10001062,Aircraft turbine engine comprising an air intake housing with a variable aerodynamic profile,2018,Stephane Warnet,
10001063,Angled core gas turbine engine mounting,2018,Jesse M. Chandler,
10001083,Turbofan aircraft engine,2018,Eckart Heinrich,
10001083,Turbofan aircraft engine,2018,Rudolf Stanka,
10001098,Fuel pump,2018,Yoshinori Ogaki,
10001101,Fuel injection valve,2018,Masaru Setodoi,
10001111,Transition body between tower sections of a wind turbine and wind turbine tower comprising same,2018,Konstantinos Savvas,
10001133,Low-cavitation impeller and pump,2018,Corey Mathew Doll,
10001133,Low-cavitation impeller and pump,2018,Harold Mays,
10001142,Turbine casing of an exhaust-gas turbocharger,2018,Sylvia Wuest,
10001158,Anti-rotation for eccentric bushings,2018,Thomas C. Wittenberg,
10001172,Bearing having a cage provided with a wire and a seal,2018,Laurent Varnoux,
10001195,Gear transmission,2018,Kaoru YOTO,NABTESCO CORPORATION
10001197,Multiple speed transmission with integrated low range,2018,Robert Scott Lippert,
10001199,Continuously variable transmission and method for controlling the same,2018,Ying-Chieh Huang,
10001200,Continuous and reversible mechanical gear system with a power branch,2018,Julian Parraga Gimeno,
10001210,Lubrication structure and transmission,2018,Masanori Iritani,
10001236,Male bayonet connector,2018,Peter D. Lewis,
10001240,"Pig ramp, system and method",2018,John Charles Mollenkopf,
10001262,LED retrofit lamp and process for manufacturing the same,2018,Peng-Ren Chen,
10001295,"Blow through direct fired heating, A/C and ERV",2018,Carl Merrill Schoeneberg,
10001301,"Automated, oscillating dual-chambered heat pump, electricity generating, and/or water heating method employing such",2018,Brad Daviet,
10001305,Fluid treatment apparatus and method,2018,Richard COWLEY,
10001306,Ice-making freezer cleaning,2018,Keith H. Roth,
10001322,Dual tumble dryer unit and system,2018,Mark S. Lemna,
10001326,Electric power peak-shaving and combined heat and power waste heat recovery device and operation method thereof,2018,Xin QI,
10001346,Inflatable blast-induced brain injury prevention device,2018,Scott D. Augustine,
10001352,Arrow shaft and arrow including the same,2018,Yoon Jae Song,
10001357,Coordinate measuring apparatus,2018,Koji Takesako,
10001384,Method and apparatus for the retrieval of similar places,2018,Steffen Bickel,
10001386,Automatic track selection for calibration of pedometer devices,2018,Gunes Dervisoglu,
10001395,Method of interpreting NMR signals to give multiphase fluid flow measurements for a gas/liquid system,2018,John Justin Freeman,
10001478,Heterogenous surface functionalization,2018,Nicolas Demierre,
10001485,Methods for sensitizing a quiescent cancer stem cell to a BCR-ABL inhibitor,2018,Catriona Helen M. Jamieson,
10001489,Method for constructing a novel affinity peptide library for binding immunoglobulin G based on a protein affinity model of protein A,2018,Fufeng Liu,
10001511,Systems and methods for determining current flow through a utility asset,2018,Deepakraj M. Divan,
10001523,Adjusting latency in a scan cell,2018,Raghu G. GopalaKrishnaSetty,
10001557,"State recognizing device, state recognizing method, and recording medium",2018,Daisuku Okuya,
10001596,Lighting device,2018,Chul Ho JANG,
10001613,Methods and cables for use in fracturing zones in a well,2018,David Kim,
10001624,"Annular optical element, imaging lens assembly, imaging apparatus and electronic device",2018,Jung-Lieh Tsai,
10001625,Optical image capturing system,2018,Yao-Wei Liu,
10001628,Optical image capturing system,2018,Chien-Hsun Lai,
10001646,Head-up display,2018,Makoto Sakai,
10001657,"Phosphor ceramic, encapsulated optical semiconductor element, circuit board, optical semiconductor device and light-emitting device",2018,Hironaka Fujii,
10001672,Side edge planar lighting unit,2018,Tomoo Udagawa,
10001672,Side edge planar lighting unit,2018,Yoshihiro Sho,
10001687,Liquid crystal display device,2018,Hiroshi Miyairi,
10001688,Display and pixel structure thereof,2018,Chia-Yang Cheng,
10001693,"Light communication device, light module, and method for coupling",2018,Akira Ishii,
10001693,"Light communication device, light module, and method for coupling",2018,Norihisa Naganuma,
10001694,High-frequency light modulator,2018,Thomas S. Low,
10001703,Photopolymer formulation for production of holographic media comprising borates with low TG,2018,Thomas Rölle,
10001712,Immersion lithographic apparatus and device manufacturing method,2018,Theodorus Marinus Modderman,
10001727,"Developer accommodating container, developer accommodating unit, process cartridge, and electrophotographic image forming apparatus",2018,Tatsuo Fujisaki,
10001729,"Developing sections for digital printing presses, controllers and methods",2018,Eyal Negreanu,
10001746,Image heating apparatus,2018,Yoshinori Hashimoto,
10001792,System and method for determining occupancy schedule for controlling a thermostat,2018,Erik Shilts,
10001799,Pull-down circuitry for an apparatus,2018,Tino Hellberg,
10001810,Foldable electronic device including flexible display,2018,Youngsun Park,
10001826,Power management mechanism for data storage environment,2018,Lei Liu,
10001849,Touch panel,2018,Jianbin Yan,
10001856,"Dynamic enablement, disablement and adjustment of offset of a periodic timing control signal",2018,Po-Hua Huang,
10001876,"Touch display panel, and driving method and driving circuit for the same",2018,Xiaoye Li,
10001909,Touch optimizations for range slider controls,2018,Jeremy Jude Alexi Edwards,
10001922,High performance optical storage system for protection against concurrent data loss,2018,Mario Blaum,
10001941,Graphics processing systems,2018,Toni Viki Brkic,
10001942,Asynchronous semi-inline deduplication,2018,Kartik Rathnakar,
10001972,Random IP generation method and apparatus,2018,Jee Soo Jurn,
10002001,Importing a virtual disk image into a compute service environment,2018,Christopher Ian Hendrie,
10002002,Communication of device presence between boot routine and operating system,2018,Palsamy Sakthikumar,
10002014,Management of a virtual machine in a virtualized computing environment based on a fabric limit,2018,Samuel D. Matzek,
10002015,Delayed boot of a virtual machine in a virtualized computing environment based on a fabric limit,2018,Gerald Francis McBrearty,
10002028,Dynamic feedback load balancing,2018,Joseph Andonieh,
10002042,Systems and methods of detecting errors during read operations and skipping word line portions,2018,Yigal Eli,
10002043,Memory devices and modules,2018,Liang Yin,
10002045,Semiconductor memory devices having input/output gating circuit and memory systems including the same,2018,Hoi-Ju Chung,
10002061,USB interface detector,2018,Emma Wang,
10002113,Accessing related application states from a current application state,2018,Eric J. Glover,
10002137,Efficient data storage utilization and recycling by gradual data degradation,2018,Dany Moshkovich,
10002211,Artifact reduction in iterative inversion of geophysical data,2018,Sunwoong Lee,
10002216,Systems and methods for dynamic regression test generation using coverage-based clustering,2018,Shahid Ikram,
10002229,Automatic threshold setting and baseline determination for real-time PCR,2018,David Woo,
10002276,Barcode-reading device and machine including such a device for automated analysis of a sample,2018,Veronica Lucia ROSSI,
10002288,Facial identification techniques,2018,Jonathan Isaac Guillory,
10002331,Order fulfillment systems,2018,David B. Hall,
10002334,"Analytical method, system and computer readable medium to provide high quality agent leads to general agents",2018,Tricia Walker,
10002347,Methods and systems for node-based website design,2018,Scott L. McGrew,
10002354,Multi currency exchanges between participants,2018,Giacomo Digrigoli,
10002378,Informing customers regarding items on their shopping list,2018,Anthony Emile Marcar,
10002413,Recovering planar projections,2018,Stephen Pollard,
10002415,Utilizing deep learning for rating aesthetics of digital images,2018,Radomir Mech,
10002415,Utilizing deep learning for rating aesthetics of digital images,2018,Zhe Lin,
10002425,Method of segmenting single neuron images with high-dynamic-range thresholds and computer readable storage medium thereof,2018,Chi-Tin Shih,
10002426,System for cancer diagnosis,2018,Ximin Zhang,SONY GROUP CORPORATION
10002479,End to end system for service delivery to and from a vehicle using a dongle,2018,Yao Zhai,
10002481,Vote casting system and method,2018,John Seibel,
10002505,Systems and methods for protecting retail display merchandise from theft,2018,Jeffrey A. Grant,
10002538,Aircraft clearance enforcement,2018,Anbazhagan Palanichamy,
10002540,Interactive educational tool,2018,Martin Michalowski,
10002544,Neuroplasticity games for depression,2018,Michael M. Merzenich,
10002586,Compression of display data stored locally on a GPU,2018,Koen Bennebroek,
10002593,Guitar capo applicable to different kinds of guitars,2018,Tao Hu,
10002659,System and method for decoding commands based on command signals and operating state,2018,James S. Cullum,
10002661,Structure for reducing pre-charge voltage for static random-access memory arrays,2018,Rolf Sautter,
10002675,"Shift register unit, gate driving circuit and driving method, and display apparatus",2018,Haoliang Zheng,
10002686,Method of infusing fibrous substrate with conductive organic particles and conductive polymer; and conductive fibrous substrates prepared therefrom,2018,Gregory A. Sotzing,
10002720,Preparation of metal oxide-graphene composite films,2018,Xiuzhen Qian,
10002729,Electronic device with slidable control button,2018,Samir Hanna Safar,
10002731,Rocker input mechanism,2018,Waylon Y. Chen,
10002744,System and method for controlling plasma density,2018,Lee Chen,
10002764,Sputter etch material selectivity,2018,Kevin Anglin,
10002781,Tool auto-teach method and apparatus,2018,Jairo T. Moura,
10002808,Semiconductor device manufacturing method and semiconductor device,2018,Hideo Mutou,
10002809,Top contact resistance measurement in vertical FETs,2018,Kangguo Cheng,
10002815,Multi-chip package structure manufacturing process and wafer level chip package structure manufacturing process,2018,Shih-Wen Chou,
10002834,Method and apparatus for protecting metal interconnect from halogen based precursors,2018,Srinivas Guggilla,
10002840,"Semiconductor devices having discretely located passivation material, and associated systems and methods",2018,Jonathan S. Hacker,
10002851,Semiconductor packages including chip enablement pads,2018,Hyung Ju Choi,
10002856,Micro-LED array transfer,2018,Devendra K. Sadana,
10002864,Intra-metal capacitor and method of forming the same,2018,Shu-Hung Yu,
10002896,Housing for an infrared radiation micro device and method for fabricating such housing,2018,Jochen Quenzer,
10002896,Housing for an infrared radiation micro device and method for fabricating such housing,2018,Sebastien Tinnes,
10002929,Reduction of defect induced leakage in III-V semiconductor devices,2018,Devendra K. Sadana,
10002945,Composite spacer enabling uniform doping in recessed fin devices,2018,Tenko Yamashita,
10002963,Semiconductor device,2018,Fujio Masuoka,
10002964,System and method for threshold logic with electrostatically formed nanowire transistors,2018,Alan V. Sahakian,
10002966,Field effect transistor and device thereof,2018,Wen-Tsung Chang,
10002993,Light emitting device,2018,Takeshi Ikegami,
10003005,Superconductor device interconnect,2018,Aurelius L. Graninger,
10003029,Compound and organic light-emitting device including the same,2018,Sanghyun Han,
10003031,"Compound for organic electric element, organic electric element comprising the same and electronic device thereof",2018,Wonsam Kim,
10003036,Hybrid heterojunction photovoltaic device,2018,Oki Gunawan,
10003041,Organic light emitting diode and organic light emitting display device including the same,2018,Eung Do Kim,
10003051,System for the storage of electric energy for a vehicle with electric propulsion and presenting cylindrical chemical batteries embedded in a support matrix,2018,Fabrizio Favaretto,
10003062,Modular battery cover,2018,Neil C. Swenson,
10003072,"Positive electrode active material for secondary battery, method for producing same and secondary battery",2018,Makiko Takahashi,
10003087,Stretchable printed battery and methods of making,2018,Anwar Mohammed,
10003110,Charge-free mixing entropy battery,2018,Mauro Pasta,
10003130,Communication device with reconfigurable low-profile antenna element,2018,Kin-Lu Wong,
10003178,Stringer wheel and cable guide apparatus,2018,Jamie Allen Ferguson,
10003214,Battery management system,2018,Russell Wayne Hum,
10003234,Electrical machine comprising a fastening flange,2018,Stefan Mai,
10003255,VID-controlled voltage regulator with audible noise correction,2018,Jeffrey Jull,
10003264,DC/DC converter,2018,Matahiko Ikeda,
10003274,Power conversion device,2018,Yuki Fujita,
10003278,Active CMOS recovery units for wireless power transmission,2018,Seyed Ali Hajimiri,
10003284,"Power apparatus, controlling method thereof and motor driving apparatus therein",2018,Alexey Bodrov,
10003285,Decoupling current control utilizing direct plant modification in electric power steering system,2018,Michael K. Hales,
10003286,Motor control device and steering control device,2018,Kenichi Toyozumi,
10003300,Photovoltaic management and module-level power electronics,2018,Eric Roesinger,
10003315,Voltage sampler driver with enhanced high-frequency gain,2018,Armin Tajalli,
10003352,High-precision analog-to-digital converter and DNL-based performance improvement method,2018,Gangyi Hu,
10003353,Time-based delay line analog comparator,2018,Neil Deutscher,
10003402,Ground terminal design for high rate direct to earth optical communications,2018,David J Geisler,
10003402,Ground terminal design for high rate direct to earth optical communications,2018,Farzana I. Khatri,
10003434,Efficient error correction that aggregates different media into encoded container packets,2018,Michael A. Ramalho,
10003436,Low-complexity LLR computation for nonuniform QAM constellations,2018,Magnus Stig Torsten Sandell,
10003442,Method for performing precoding for adaptive antenna scaling in wireless communication system and apparatus therefor,2018,Jiwon Kang,
10003444,Communication method using multiple input multiple output and communication apparatus performing the same,2018,Hyun-Jae Kim,
10003444,Communication method using multiple input multiple output and communication apparatus performing the same,2018,Kwi Hoon Kim,
10003457,Random cipher pad cryptography,2018,Michael L. Hammon,
10003481,FFE-aided CDR to calibrate phase offset and enhance gain in baud rate sampling phase detector,2018,Henry Wong,
10003502,Integrated wireless sensor network (WSN) and massively parallel processing database management system (MPP DBMS),2018,Flavia Coimbra Delicato,
10003518,Span session monitoring,2018,Pags Krishnamoorthy,
10003521,Fibre channel N_port virtualization gateway with shortcut path logic,2018,Hari Hara Kiran Prasad Vemula,
10003534,Multiple active L3 gateways for logical networks,2018,Benjamin C. Basler,
10003539,Path discovery in multipath networks,2018,Shashidhar Gandham,
10003547,Monitoring computer process resource usage,2018,Michael W. Little,
10003602,Determining email authenticity,2018,Christopher J. Hockings,International Business Machines Corporation
10003604,Authenticated communication between security devices,2018,Nancy Davoust,
10003612,Protection for computing systems from revoked system updates,2018,Michael D. Hocker,
10003626,Adaptive real-time transcoding method and streaming server therefor,2018,Doo Hwan Oh,
10003626,Adaptive real-time transcoding method and streaming server therefor,2018,Joon-kee Chang,
10003667,Profile and consent accrual,2018,Nayana Ramdas Mutha,
10003672,"Apparatus, systems and methods for deployment of interactive desktop applications on distributed infrastructures",2018,Gaurav Manglik,
10003675,"Packet processor receiving packets containing instructions, data, and starting location and generating packets containing instructions and data",2018,Sean S. Eilert,
10003694,Threshold activated teleconferencing,2018,Li Chen,
10003695,Data communication,2018,Trevor Linney,
10003716,Generation of a digest video,2018,Kae Okazawa,
10003724,Smart case for mobile photography,2018,Zachary Reed,
10003727,Camera module capable of emitting a uniform light,2018,Hou Ming Huang,
10003729,Transmitting settings in a digital imaging system,2018,Anthony C. Spielberg,
10003736,Image pickup device,2018,Koji Shibuno,
10003741,System for processing data from an omnidirectional camera with multiple processors and/or multiple sensors connected to each processor,2018,Stephane Valente,
10003755,Imaging system for vehicle,2018,William R. Livengood,
10003807,Block-based video coding using a mixture of square and rectangular blocks,2018,Arild Fuldseth,
10003833,System and method for recognition of items in media data and delivery of information related thereto,2018,John McDevitt,
10003873,Speaker and shower,2018,Kenneth Scott Hanna,
10003880,Wireless earbuds with electronic contacts,2018,Jonathan S. Aase,
10003923,Location context inference based on user mobile data with uncertainty,2018,Anshul Sheopuri,
10003928,Crowd-sourced passive positioning and calibration,2018,Paramvir Singh Nagpal,
10003934,Graphical mobile E-mail,2018,Elad Gil,
10003950,"ID kits for personal automation, and charging units therefor",2018,Jae-ho Hyun,
10003975,Authorized areas of authentication,2018,Lee McDole,
10003978,"Mobile communication system, radio base station, radio mobile station and mobile communication method",2018,Yoshifumi Morihiro,
10003988,Detecting apparatus and method for determining air interface resources consumed by service,2018,Guojun Ma,
10004053,Apparatuses and methods for physical broadcast channel (PBCH) assisted synchronization during a discontinuous reception (DRX) operation,2018,Wei Sun,
10004056,Requesting a location of a user,2018,Bojana Ostojic,
10004064,"Method for direct device-to-device communication of terminal in idle mode using similar random access procedures, and device therefor",2018,Hakseong Kim,
10004068,"Method, device and system for uplink resource allocation",2018,Li Chai,
10004074,"Transmission coordination within multiple user, multiple access, and/or MIMO wireless communications",2018,Joonsuk Kim,
10004094,Authentication and pairing of devices using a machine readable code,2018,Joshua S. Bolduc,
10004094,Authentication and pairing of devices using a machine readable code,2018,Skji Conklin,
10004105,Method for network self-healing in cluster-tree structured wireless communication networks,2018,Jae Seok Bang,
10004112,Machine learning apparatus and coil electric heating apparatus,2018,Yasunori Sugimoto,
10004116,"Lighting device, headlight device with the same, and vehicle",2018,Takahiro Fukui,
10004147,Method for the diffusion soldering of an electronic component to a substrate,2018,Joerg Strogies,
10004148,Manufacturing method of multilayer printed wiring board,2018,Fumihiko Matsuda,
10004230,Methods and compositions for the generation of peracetic acid on site at the point-of-use,2018,Michael S. Harvey,
10004232,Piperidine pyrazoles as fungicides,2018,Pierre Wasnaire,
10004245,Granulation of a stevia sweetener,2018,Avetik Markosyan,
10004249,Coffee composition,2018,Cheong K. Fong,
10004254,Cereal-based product with improved eating quality fortified with dietary fiber and/or calcium,2018,Dieter Oberdoerfer,
10004261,"Atomizing device, battery assembly, and electronic cigarette having same",2018,Xianming Wang,
10004275,Atomizer and electronic cigarette having same,2018,Zhongli Xu,
10004284,Aquatic sport performance garment with arms-up construction and method of making same,2018,Robert Allen Canales,
10004322,Head for an oral care implement,2018,Soeren Wasow,
10004323,Hair brush with hair product-dispensing handle,2018,Penny Sacca,
10004354,Coffee making appliance for brewing coffee,2018,Kam Fai Fung,
10004363,Shower seat assembly,2018,Jeff Tempas,
10004367,Body drying system,2018,Jeffry Brown,
10004370,Cleaner head for a vacuum cleaner,2018,Stephen Benjamin Courtney,
10004371,Cleaner,2018,Jungbae Hwang,
10004386,Otoscope,2018,Albrecht Lepple-Wienhues,
10004403,Three dimensional tissue imaging system and method,2018,Frank A. DeBernardis,
10004410,System and methods for measuring physiological parameters,2018,Maria I. Davila,
10004425,Patient specific scan parameters for MRI scanning,2018,Nassir F. Marrouche,
10004450,Tactile sensing device for lumbar punctures,2018,Jessica TRAVER,
10004459,"Catheter system and methods of medical uses of same, including diagnostic and treatment uses for the heart",2018,J. Christopher Flaherty,
10004461,Physiological signal processing system and method for filtering noise generated by the same,2018,Hsuan-Yu Huang,
10004471,Decision support for disease characterization and treatment response with disease and peri-disease radiomics,2018,Anant Madabhushi,
10004491,Suturing instrument with needle motion indicator,2018,Adam D. Hensel,
10004491,Suturing instrument with needle motion indicator,2018,David T. Martin,
10004501,Surgical instruments with improved closure arrangements,2018,"Chester O. Baxter, III",
10004520,Ultrasound catheter devices and methods,2018,Richard Spano,
10004525,Membrane removing forceps,2018,Gregg D. Scheller,
10004529,Features to drive fluid toward an ultrasonic blade of a surgical instrument,2018,Jeffrey D. Messerly,
10004532,Puncture assistance system,2018,Nobuhiro Ogasawara,
10004543,Minimally invasive pedicle screw extension sleeve system,2018,David Greenwald,
10004550,"Cryoablation apparatuses, systems, and methods for renal neuromodulation",2018,Benjamin J. Clark,
10004550,"Cryoablation apparatuses, systems, and methods for renal neuromodulation",2018,Lana Wooley,
10004581,Vibrating toothbrush,2018,Alan Sorrentino,
10004582,Cuff of an artificial urinary sphincter system,2018,Jessica Santos,
10004584,Resilient intravaginal device,2018,Pramod Mavinkurve,
10004599,"Prosthesis, delivery device and methods of use",2018,Arshad Quadri,
10004602,Bioactive implant for myocardial regeneration and ventricular chamber restoration,2018,Juan Carlos Chachques,
10004616,"Treatment kit, treatment device, and associated method of production",2018,Coralie Marchand,
10004617,Woven stent device and manufacturing method,2018,Don Frawley,
10004626,"Neck movement support device, system and methods",2018,Joseph P. Stine,
10004654,Patient bed having software download capability,2018,Mark Chiacchira,
10004660,Method of therapy and haptic gaming system for sensory agnosia,2018,Alexander William Walker,
10004672,"Oxidation dye including a combination of cross-linked, aminated siloxane polymers and non-ionic surfactants",2018,Susanne Hagenow,HENKEL AG & CO. KGAA
10004677,Methods of reducing skin inflammation using compositions comprising Ampelopsis grossedentata and Albizia julibrissin extracts,2018,Tao Liu,
10004677,Methods of reducing skin inflammation using compositions comprising Ampelopsis grossedentata and Albizia julibrissin extracts,2018,Yingxin Ma,
10004689,Nanoparticle compositions for generation of regulatory T cells and treatment of autoimmune diseases and other chronic inflammatory conditions,2018,Stefan Lüth,
10004690,Administrable microparticles in vivo through medical conduit,2018,Young Hwan Park,
10004694,"Targeted poorly water-soluble drug delivery system, method of preparing the same, and pharmaceutical composition including the same",2018,Youngwook Kim,
10004715,Entacapone for prevention and treatment of atherosclerosis,2018,Shiming Peng,
10004716,Therapeutic/ preventive agent containing coumarin derivative as active ingredient,2018,Hiroki Fujisawa,
10004727,"Composition for preventing, alleviating or treating metabolic diseases, containing amodiaquine as active ingredient",2018,Kyong Tai Kim,
10004732,Amino pyrazine derivatives as phosphatidylinositol 3-kinase inhibitors,2018,Matthew Spendiff,
10004773,"Plant compositions and methods and uses thereof for treating elevated glucocorticoid related disorders, and anxiety",2018,Jose M. Wade,
10004791,Peptide vaccines against PCSK9,2018,Claudia Juno,
10004795,Process for preparing an attenuated tetravalent dengue vaccine,2018,Neuza Maria Frazatti Gallina,
10004797,Method of rapidly producing improved vaccines for animals,2018,Kurt Iver Kamrud,
10004797,Method of rapidly producing improved vaccines for animals,2018,Lyric Colleen Bartholomay,
10004819,Tissue allograft sterilization method,2018,Theodore I. Malinin,
10004844,Automatic fat graft injection device with navigation system,2018,Ming-Huei Cheng,
10004865,Mask,2018,Alastair Edwin McAuley,
10004867,Respiratory apparatus,2018,Rupert Christian Scheiner,
10004877,"Deflectable catheter shaft section, catheter incorporating same, and method of manufacturing same",2018,Troy T. Tegg,
10004879,Central venous access system,2018,John Gurley,
10004911,Circuitry for charging a depleted battery in an implantable medical device without passive trickle charging,2018,Jordi Parramon,
10004914,Assembly for the treatment of wounds,2018,Stefan Nettesheim,reylon plasma GmbH
10004916,Orthopedic fixation device with magnetic field generator,2018,Richard A. Rogachefsky,
10004929,Passive fire response system and method of manufacturing,2018,Nicholas Francis O'Neill,
10004937,Wearable modular resistance unit,2018,David G. Matsuura,
10004978,Device with multi-directional moving members,2018,Richard A. Carlow,
10005022,Systems and methods for CO2 removal from flue gas by temperature swing absorption,2018,Kamalesh K. Sirkar,
10005026,Limestone supply device and air pollution control system,2018,Toshihiro Fukuda,
10005035,"Ion processing device, ion chromatograph provided with the ion processing device, and eluent generator provided with the ion processing device",2018,Yukio Oikawa,
10005071,"Mixed oxides of transition metals, hydrotreatment catalysts obtained therefrom and preparation process",2018,Michele Tomaselli,
10005072,High matrix surface area catalytic cracking catalyst stabilized with magnesium and silica,2018,Wu-Cheng Cheng,
10005100,Method for forming fine patterns,2018,Min Kang,
10005111,Turbine engine cleaning systems and methods,2018,Michael Edward Eriksen,
10005139,Portable milling tool with method for turbomachine milling,2018,Charles Van Buchan,
10005185,Flexible cycle time-optimized sharing of a working space for robots,2018,Thomas Heinrich,
10005193,Slitter with adjustable shroud,2018,Les Stener,
10005229,System for using optical sensor focus to identify feature heights on objects being produced in a three-dimensional object printer,2018,Douglas E. Proctor,
10005231,Method of manufacturing contoured objects by radio frequency welding and tooling assembly for same,2018,Bryan Kraft,
10005233,Portable system for bonding pipes,2018,Jeffrey A. Scilingo,
10005234,"Devices, systems, and methods for compacting a charge of composite material across an edge",2018,Daniel M. Rotter,
